external_id;canonical_name;label_en;label_ru;platforms;aliases;external_url
Q19824577;Adventure Time: Finn & Jake Investigations;Adventure Time: Finn & Jake Investigations;Adventure Time: Finn & Jake Investigations;PlayStation 4;Adventure Time: Finn & Jake Investigations | Finn & Jake Investigations | Adventure Time;https://www.wikidata.org/wiki/Q19824577
Q45797813;Adventure Time: Pirates of the Enchiridion;Adventure Time: Pirates of the Enchiridion;Adventure Time: Pirates of the Enchiridion;PlayStation 4;Adventure Time: Pirates of the Enchiridion | Adventure Time;https://www.wikidata.org/wiki/Q45797813
Q107010241;Adventures of Chris;Adventures of Chris;;PlayStation 4;Adventures of Chris;https://www.wikidata.org/wiki/Q107010241
Q2494337;Adventures of Sherlock Holmes;Adventures of Sherlock Holmes;Приключения Шерлока Холмса;PlayStation 5 | PlayStation 4;Adventures of Sherlock Holmes | Приключения Шерлока Холмса | Sherlock Holmes;https://www.wikidata.org/wiki/Q2494337
Q51152443;Aegis Defenders;Aegis Defenders;Aegis Defenders;PlayStation 4;Aegis Defenders;https://www.wikidata.org/wiki/Q51152443
Q23783505;Aegis of Earth: Protonovus Assault;Aegis of Earth: Protonovus Assault;Aegis of Earth: Protonovus Assault;PlayStation 4;Aegis of Earth: Protonovus Assault | Aegis of Earth;https://www.wikidata.org/wiki/Q23783505
Q114945743;Aeon Drive;Aeon Drive;;PlayStation 5 | PlayStation 4;Aeon Drive;https://www.wikidata.org/wiki/Q114945743
Q109514238;Aeon Must Die!;Aeon Must Die!;;PlayStation 4;Aeon Must Die!;https://www.wikidata.org/wiki/Q109514238
Q99776022;Aer: Memories of Old;Aer: Memories of Old;AER Memories of Old;PlayStation 4;Aer: Memories of Old | Memories of Old | AER;https://www.wikidata.org/wiki/Q99776022
Q133265961;Aerial_Knight's Dropshot;Aerial_Knight's Dropshot;;PlayStation 5;Aerial_Knight's Dropshot;https://www.wikidata.org/wiki/Q133265961
Q106513258;Aerial_Knight's Never Yield;Aerial_Knight's Never Yield;Aerial_Knight's Never Yield;PlayStation 5 | PlayStation 4;Aerial_Knight's Never Yield;https://www.wikidata.org/wiki/Q106513258
Q124697702;Aerial_Knight's We Never Yield;Aerial_Knight's We Never Yield;;PlayStation 5 | PlayStation 4;Aerial_Knight's We Never Yield;https://www.wikidata.org/wiki/Q124697702
